2000032	张琳奥	计算机科学与技术192	77.5	98.5	47.5	79	74
2000033	张惠轩	计算机科学与技术192	69.5	35	70.5	89.5	62.5
2000034	卞育曼	计算机科学与技术192	77.5	71.5	52	37.5	63
2000035	高文悦	计算机科学与技术192	85.5	52	39	19	71
2000036	王晓歌	计算机科学与技术192	32.5	42.5	75	86.5	77
2000037	丁天	计算机科学与技术192	94.5	76.5	70.5	63.5	65
2000038	崔迪宇	计算机科学与技术192	76	67	95.5	87	56.5
2000039	范富欢	计算机科学与技术192	93.5	51	70	37.5	13
2000040	马琳	计算机科学与技术192	76	58.5	53	70.5	49.5
2000041	王欣	计算机科学与技术192	84.5	59	83.5	82.5	83.5
2000042	张景斐	计算机科学与技术192	75.5	74.5	80	28.5	78
2000043	刘国	计算机科学与技术192	62	86.5	70.5	78	82.5
2000044	冯红慧	计算机科学与技术192	76	56	54.5	95.5	72.5
2000045	戚芮萍	计算机科学与技术192	3	51	62	55	38.5
2000046	李曜岩	计算机科学与技术192	81	67.5	12	49	92.5
2000047	王知	计算机科学与技术192	60	84	75.5	55	84
2000048	张玉昊	计算机科学与技术192	76	62	77.5	69.5	87.5
2000049	王雅	计算机科学与技术192	84.5	51	78.5	62.5	98
2000050	张文旺	计算机科学与技术192	51	49.5	64	89.5	34.5
2000051	左燕	计算机科学与技术192	84	45	95.5	57	74
2000052	王新瑶	计算机科学与技术192	59	58.5	96.5	56	62.5
2000053	崔莹含	计算机科学与技术192	100	77	70	87	63
2000054	孟曼洁	计算机科学与技术192	86.5	87	37.5	80	71
2000055	伊婉	计算机科学与技术192	34	88.5	86.5	65	77
2000056	滕梦佑	计算机科学与技术192	18.5	70.5	62	88.5	65
2000057	赵成	计算机科学与技术192	72.5	84.5	61	77.5	56.5
2000058	宋晓美	计算机科学与技术192	50.5	11	53	37.5	13
2000059	曹兴伟	计算机科学与技术192	51	31.5	11	44.5	49.5
2000060	朱子雪	计算机科学与技术192	67	84.5	86	86.5	83.5
2000061	高政红	计算机科学与技术192	75.5	35	65	77.5	78
2000062	王丽洁	计算机科学与技术192	91.5	71.5	71.5	81	82.5
2000063	王樱芳	计算机科学与技术192	61.5	59.5	44.5	94.5	72.5
2000064	丰嘉玲	计算机科学与技术192	85.5	53.5	92.5	58	38.5
2000065	公妍龙	计算机科学与技术192	59	88	55	87	92.5
2000066	鲍莹	计算机科学与技术192	76.5	53	71.5	48.5	84
2000067	王艺雨	计算机科学与技术192	59	51	88	79	87.5
2000068	任文珍	计算机科学与技术192	92.5	77	83.5	64	98
2000069	孙圆	计算机科学与技术192	86.5	79	79	98.5	34.5
2000070	李瑞怡	计算机科学与技术192	87.5	19	70.5	97.5	74
2000071	管葛珠	计算机科学与技术192	61.5	100	70.5	89.5	62.5
2000072	邓泽阳	计算机科学与技术192	75.5	88	62	47.5	63
2000073	朱敬志	计算机科学与技术192	52	70.5	61.5	54.5	71
2000074	诸敏保	计算机科学与技术192	85	92.5	61.5	53	77
2000075	高洋晨	计算机科学与技术192	53.5	81	81	87	65
2000076	汲晗颖	计算机科学与技术192	19	71.5	81	89.5	56.5
2000077	郇晨磊	计算机科学与技术192	24.5	93.5	53	37	13
2000078	房子英	计算机科学与技术193	42.5	70.5	85	60.5	49.5
2000079	赵太宣	计算机科学与技术193	33	93.5	77.5	81.5	83.5
2000080	贺子然	计算机科学与技术193	66.5	86.5	71.5	83.5	78
2000081	张文菡	计算机科学与技术193	49.5	71.5	54	73.5	82.5
2000082	郭铭琴	计算机科学与技术193	91	95	44.5	88	72.5
2000083	赵丽鑫	计算机科学与技术193	85.5	95.5	78	72.5	38.5
2000084	陈龙璇	计算机科学与技术193	94.5	62	64	88	92.5
2000085	张松萌	计算机科学与技术193	81	83.5	62	99.5	84
2000086	顾星凡	计算机科学与技术193	77.5	62	88	75	87.5
2000087	冯乐卓	计算机科学与技术193	77.5	61	28.5	63	98
2000088	齐桂涛	计算机科学与技术193	87.5	89.5	79	45.5	34.5
2000089	徐晴楠	计算机科学与技术193	77.5	44.5	89.5	79	74
2000090	金尚伟	计算机科学与技术193	53.5	60	37.5	73.5	62.5
2000091	王震博	计算机科学与技术193	49.5	61	19	71	63
2000092	郭伟星	计算机科学与技术193	93.5	96	86.5	77.5	71
2000093	宋杰庆	计算机科学与技术193	78	87	63.5	73.5	77
2000094	王永蕾	计算机科学与技术193	93.5	44.5	87	65	65
2000095	刘伊龙	计算机科学与技术193	93.5	61.5	37.5	94.5	56.5
2000096	高俊畅	计算机科学与技术193	71.5	86	70.5	75	13
2000097	孙晶	计算机科学与技术193	52	64	82.5	54	49.5
2000098	刘盈文	计算机科学与技术193	42.5	88.5	28.5	32	83.5
2000099	梁子庆	计算机科学与技术193	76.5	69.5	78	71	78
2000100	李叶笛	计算机科学与技术193	67	79.5	95.5	64	82.5
2000101	刘芸	计算机科学与技术193	51	81	55	88	72.5
2000102	李西伟	计算机科学与技术193	58.5	51.5	49	96.5	38.5
2000103	王洁雯	计算机科学与技术193	59	59.5	55	24	92.5
2000104	赵文婷	计算机科学与技术193	74.5	79	69.5	60.5	84
2000105	刘玉月	计算机科学与技术193	86.5	55	62.5	64	87.5
2000106	于淞	计算机科学与技术193	56	62	89.5	77.5	98
2000107	王艳然	计算机科学与技术193	51	43	57	96.5	34.5
2000108	邱雍	计算机科学与技术193	67.5	52.5	56	64	74
2000109	张美	计算机科学与技术193	84	96	87	63	62.5
2000110	闫龙	计算机科学与技术193	62	63	80	55	63
2000111	刘文洋	计算机科学与技术193	51	52	65	74	71
2000112	王永月	计算机科学与技术193	49.5	62	88.5	80.5	77
2000113	常妮雨	计算机科学与技术193	45	52	77.5	60	65
2000114	王婕云	计算机科学与技术193	58.5	78	37.5	77.5	56.5
2000115	卢秀玉	计算机科学与技术193	77	80	44.5	83	13
2000116	马传唯	计算机科学与技术193	87	69.5	86.5	90	49.5
2000117	伏钰凡	计算机科学与技术193	88.5	37.5	77.5	32	83.5
2000118	王晶臻	计算机科学与技术193	70.5	94.5	81	60	78
2000119	庄天	计算机科学与技术193	84.5	70	94.5	40	82.5
2000120	张法慧	计算机科学与技术193	11	81	58	65	72.5
2000121	徐红豪	计算机科学与技术193	31.5	87	87	47.5	38.5
2000122	谢欣	计算机科学与技术193	84.5	63	48.5	81	92.5
2000123	胡成	计算机科学与技术193	35	70.5	79	75	84
2000124	季博玥	计算机科学与技术193	71.5	70.5	64	58	87.5
2000125	王松隆	计算机科学与技术193	59.5	78.5	98.5	58	98
2000126	李蕾童	计算机科学与技术193	53.5	87	97.5	64	34.5
2000127	艾鑫洛	计算机科学与技术193	88	53	89.5	90.5	74
2000128	胡小	计算机科学与技术194	53	78	47.5	50.5	62.5
2000129	李静洁	计算机科学与技术194	51	81	54.5	57	63
2000130	王梦如	计算机科学与技术194	77	70	53	30	71
2000131	张秀超	计算机科学与技术194	79	80	87	89.5	77
2000132	王郑梅	计算机科学与技术194	19	70	89.5	55	65
2000133	孟雨函	计算机科学与技术194	100	95.5	37	83.5	56.5
2000134	廉勤	计算机科学与技术194	88	28.5	60.5	64	13
2000135	李文	计算机科学与技术194	70.5	86.5	81.5	65.5	49.5
2000136	李澳同	计算机科学与技术194	92.5	89.5	83.5	97.5	83.5
2000137	李敏	计算机科学与技术194	81	95.5	73.5	56.5	78
2000138	崔友欣	计算机科学与技术194	71.5	21.5	88	47.5	82.5
2000139	付浩榕	计算机科学与技术194	93.5	84	72.5	77.5	72.5
2000140	王文心	计算机科学与技术194	70.5	70	88	54.5	38.5
2000141	黄冰	计算机科学与技术194	93.5	71	99.5	89.5	92.5
2000142	胡一荣	计算机科学与技术194	86.5	56	75	57.5	84
2000143	葛悦妤	计算机科学与技术194	71.5	68	63	82	87.5
2000144	刘田珠	计算机科学与技术194	95	63	45.5	31	98
2000145	曹嘉银	计算机科学与技术194	95.5	80	79	28.5	34.5
2000146	徐雪然	计算机科学与技术194	62	72.5	73.5	46.5	74
2000147	杨恩宇	计算机科学与技术194	83.5	70	71	48.5	62.5
2000148	赵栋	计算机科学与技术194	62	76.5	77.5	88	63
2000149	公佳蕾	计算机科学与技术194	61	92	73.5	50.5	71
2000150	上钰奥	计算机科学与技术194	89.5	61.5	65	47.5	77
2000151	张恒峰	计算机科学与技术194	44.5	48.5	94.5	26.5	65
2000152	庞晓越	计算机科学与技术194	60	70.5	75	62.5	56.5
2000153	孔洁	计算机科学与技术194	61	86	54	96.5	13
2000154	邢敏辉	计算机科学与技术194	96	98	32	98.5	49.5
2000155	孙效丹	计算机科学与技术194	87	81	71	100	83.5
2000156	刘艺玥	计算机科学与技术194	44.5	97.5	64	82	78
2000157	陈欣凝	计算机科学与技术194	61.5	77.5	88	57.5	82.5
2000158	徐昊	计算机科学与技术194	86	71.5	96.5	82	72.5
2000159	伏家月	计算机科学与技术194	64	55.5	24	73.5	38.5
2000160	臧蓉阳	计算机科学与技术194	88.5	80	60.5	84.5	92.5
2000161	李职凝	计算机科学与技术194	69.5	46.5	64	90.5	84
2000162	孙佳良	计算机科学与技术194	79.5	68	77.5	67	87.5
2000163	任成雅	计算机科学与技术194	81	87	96.5	32	98
2000164	李继	计算机科学与技术194	51.5	90.5	64	80	34.5
2000165	密鑫芬	计算机科学与技术194	59.5	80	63	50.5	74
2000166	付洋民	计算机科学与技术194	79	98	55	97.5	62.5
2000167	包铭宇	计算机科学与技术194	55	88	74	91	63
2000168	刘洋	计算机科学与技术194	62	64	80.5	77	71
2000169	杨成正	计算机科学与技术194	43	71.5	60	73.5	77
2000170	王梦	计算机科学与技术194	52.5	71.5	77.5	64	65
2000171	张依雨	计算机科学与技术194	96	74.5	83	48	56.5
2000172	王诺霖	计算机科学与技术194	63	46.5	90	55.5	13
2000173	王丽	计算机科学与技术194	52	78.5	32	55.5	49.5
2000174	张宽	计算机科学与技术194	62	37.5	60	75	83.5
2000175	师诚	计算机科学与技术194	52	78.5	40	50.5	78
2000176	杜梦强	计算机科学与技术194	78	65	65	88.5	82.5
2000177	郭鹤清	计算机科学与技术194	80	97.5	47.5	34	72.5
2000178	张乐菁	计算机科学与技术195	69.5	90.5	81	33.5	38.5
2000179	杜玉宇	计算机科学与技术195	37.5	64	75	41.5	92.5
2000180	吴洋	计算机科学与技术195	94.5	70	58	65.5	84
2000181	李奕洁	计算机科学与技术195	70	46.5	58	74.5	87.5
2000182	滕红平	计算机科学与技术195	81	62	64	60	98
2000183	赵婷宇	计算机科学与技术195	87	95.5	90.5	41	34.5
2000184	陈意媛	计算机科学与技术195	63	40	50.5	89.5	74
2000185	陈涵	计算机科学与技术195	70.5	70.5	57	68.5	62.5
2000186	张梅睿	计算机科学与技术195	70.5	56	30	73.5	63
2000187	薛晨如	计算机科学与技术195	78.5	87	89.5	84	71
2000188	周庆君	计算机科学与技术195	87	30	55	82	77
2000189	徐耔颖	计算机科学与技术195	53	70.5	83.5	58	65
2000190	牛春乾	计算机科学与技术195	78	37.5	64	65	56.5
2000191	陈永睿	计算机科学与技术195	81	78.5	65.5	57.5	13
2000192	伏文娜	计算机科学与技术195	70	53.5	97.5	84.5	49.5
2000193	时仁	计算机科学与技术195	80	99	56.5	91	83.5
2000194	王遥	计算机科学与技术195	70	57	47.5	75.5	78
2000195	王文基	计算机科学与技术195	95.5	89.5	77.5	41	82.5
2000196	李宇	计算机科学与技术195	28.5	81.5	54.5	96.5	72.5
2000197	王莹凯	计算机科学与技术195	86.5	64	89.5	48.5	38.5
2000198	王小	计算机科学与技术195	89.5	98	57.5	54.5	92.5
2000199	李祥凤	计算机科学与技术195	95.5	88.5	82	31	84
2000200	孙成如	计算机科学与技术195	21.5	72.5	31	96.5	87.5
2000201	郝晓	计算机科学与技术195	84	80	28.5	41.5	98
2000202	周文	计算机科学与技术195	70	30	46.5	75	34.5
2000203	戚红宇	计算机科学与技术195	71	55	48.5	58	74
2000204	张新	计算机科学与技术195	56	83	88	49.5	62.5
2000205	张莉媛	计算机科学与技术195	68	32.5	50.5	49.5	63
2000206	马敬	计算机科学与技术195	63	80	47.5	57	71
2000207	解子洁	计算机科学与技术195	80	81.5	26.5	57.5	77
2000208	陈乐豪	计算机科学与技术195	72.5	67.5	62.5	73.5	65
2000209	周思菊	计算机科学与技术195	70	64	96.5	82	56.5
2000210	纪凤泽	计算机科学与技术195	76.5	64	98.5	59.5	13
2000211	高凤莹	计算机科学与技术195	92	74	100	90.5	49.5
2000212	崔可宇	计算机科学与技术195	61.5	64	82	33.5	83.5
2000213	罗陆婷	计算机科学与技术195	48.5	28.5	57.5	62.5	78
2000214	孟琳蔓	计算机科学与技术195	70.5	80	82	73.5	82.5
2000215	董庭	计算机科学与技术195	86	58.5	73.5	91	72.5
2000216	魏硕缘	计算机科学与技术195	98	65	84.5	35	38.5
2000217	郑蕾杰	计算机科学与技术195	81	88	90.5	91	92.5
2000218	张文娟	计算机科学与技术195	97.5	92	67	50.5	84
2000219	王新	计算机科学与技术195	77.5	75	32	49.5	87.5
2000220	殷晓莹	计算机科学与技术195	71.5	66.5	80	91.5	98
2000221	孙静朴	计算机科学与技术195	55.5	55	50.5	94	34.5
2000222	魏萱	计算机科学与技术195	80	45.5	97.5	53	74
2000223	张金梦	计算机科学与技术195	46.5	68.5	91	32.5	62.5
2000224	胡浩雨	计算机科学与技术195	68	83.5	77	95.5	63
2000225	冯娜乔	计算机科学与技术195	87	49.5	73.5	100	71
2000226	刘立雷	计算机科学与技术195	90.5	28.5	64	42	77
2000227	陈晨雨	计算机科学与技术195	80	56	48	55	65
2000228	王玉民	计算机科学与技术196	98	70.5	55.5	62	56.5
2000229	赵长秀	计算机科学与技术196	88	66.5	55.5	58	13
2000230	张晓	计算机科学与技术196	64	88	75	41	49.5
2000231	张婧	计算机科学与技术196	71.5	95.5	50.5	32.5	83.5
2000232	管尚茹	计算机科学与技术196	71.5	57	88.5	32	78
2000233	李越航	计算机科学与技术196	74.5	88	34	32	82.5
2000234	王佳涵	计算机科学与技术196	46.5	81	33.5	40	72.5
2000235	葛裕超	计算机科学与技术196	78.5	76	41.5	48.5	38.5
2000236	李樾娟	计算机科学与技术196	37.5	83	65.5	64.5	92.5
2000237	李语	计算机科学与技术196	78.5	75	74.5	37	84
2000238	段子枝	计算机科学与技术196	65	83	60	74.5	87.5
2000239	张庆	计算机科学与技术196	97.5	91	41	32.5	98
2000240	张琳	计算机科学与技术196	90.5	49.5	89.5	57	34.5
2000241	刘亚庆	计算机科学与技术196	64	70.5	68.5	74	74
2000242	郭晓	计算机科学与技术196	70	81.5	73.5	48.5	62.5
2000243	冯斌庭	计算机科学与技术196	46.5	99	84	93	63
2000244	王书娜	计算机科学与技术196	62	81.5	82	35.5	71
2000245	王心淼	计算机科学与技术196	95.5	90	58	67.5	77
2000246	李春	计算机科学与技术196	40	31	65	65	65
2000247	陈卓雯	计算机科学与技术196	70.5	89.5	57.5	83.5	56.5
2000248	纪雨	计算机科学与技术196	56	50.5	84.5	93	13
2000249	刘汇娜	计算机科学与技术196	87	73	91	36.5	49.5
2000250	祝春雨	计算机科学与技术196	30	96.5	75.5	73.5	83.5
2000251	张小	计算机科学与技术196	70.5	97.5	41	35	78
2000252	赵凯函	计算机科学与技术196	37.5	32.5	96.5	65.5	82.5
2000253	马文飞	计算机科学与技术196	78.5	82	48.5	61	72.5
2000254	高晨雯	计算机科学与技术196	53.5	56	54.5	75.5	38.5
2000255	刘峰	计算机科学与技术196	99	81.5	31	60	92.5
2000256	杨筱舒	计算机科学与技术196	57	64	96.5	75.5	84
2000257	刘培书	计算机科学与技术196	89.5	97.5	41.5	76	87.5
2000258	满春茜	计算机科学与技术196	81.5	80.5	75	53	98
2000259	孙晨倩	计算机科学与技术196	64	72	58	65	34.5
2000260	赵鑫	计算机科学与技术196	98	58.5	49.5	48.5	74
2000261	司浩杰	计算机科学与技术196	88.5	80.5	49.5	59	62.5
2000262	闫芷霞	计算机科学与技术196	72.5	57	57	37.5	63
2000263	吴辉子	计算机科学与技术196	80	72.5	57.5	36.5	71
2000264	徐一中	计算机科学与技术196	30	75.5	73.5	58	77
2000265	李惠	计算机科学与技术196	55	40	82	65	65
2000266	朱玉梅	计算机科学与技术196	83	80	59.5	57.5	56.5
2000267	王敏桦	计算机科学与技术196	32.5	50.5	90.5	84.5	13
2000268	庄征	计算机科学与技术196	80	47.5	33.5	85	49.5
2000269	付婷城	计算机科学与技术196	81.5	26.5	62.5	43.5	83.5
2000270	窦航颖	计算机科学与技术196	67.5	62.5	73.5	90	78
2000271	张天欣	计算机科学与技术196	64	96.5	91	75.5	82.5
2000272	刘为雪	计算机科学与技术196	64	98.5	35	53	72.5
2000273	王莎	计算机科学与技术196	74	100	91	99.5	38.5
2000274	许莹庆	计算机科学与技术196	64	82	50.5	85	92.5
2000275	王越群	计算机科学与技术196	28.5	57.5	49.5	66	84
2000276	许嘉	计算机科学与技术196	80	82	91.5	76	87.5
2000277	马颖淳	计算机科学与技术196	58.5	73.5	94	77	98
2000278	李志涵	计算机科学与技术197	65	84.5	53	69.5	34.5
2000279	吕晓珍	计算机科学与技术197	88	90.5	32.5	67	74
2000280	刘广涵	计算机科学与技术197	92	67	95.5	23.5	62.5
2000281	闵益洁	计算机科学与技术197	75	32	100	74.5	63
2000282	冯书	计算机科学与技术197	66.5	80	42	43	71
2000283	韩雨茹	计算机科学与技术197	55	50.5	55	58	77
2000284	龚学	计算机科学与技术197	45.5	97.5	62	50.5	65
2000285	王彦莹	计算机科学与技术197	68.5	91	58	28	56.5
2000286	苗振淯	计算机科学与技术197	83.5	77	41	27.5	13
2000287	孟坤雨	计算机科学与技术197	49.5	73.5	32.5	96.5	49.5
2000288	曹文辰	计算机科学与技术197	28.5	64	32	60	83.5
2000289	刘慧	计算机科学与技术197	56	48	32	34	78
2000290	商明洁	计算机科学与技术197	70.5	55.5	40	59	82.5
2000291	李子宇	计算机科学与技术197	66.5	55.5	48.5	34	72.5
2000292	刘畅雪	计算机科学与技术197	88	75	64.5	75	38.5
2000293	袁楚宸	计算机科学与技术197	95.5	50.5	37	61.5	92.5
2000294	尚硕冰	计算机科学与技术197	57	88.5	74.5	59	84
2000295	万明玮	计算机科学与技术197	88	34	32.5	77	87.5
2000296	张婧	计算机科学与技术197	81	33.5	57	79	98
2000297	杜红霖	计算机科学与技术197	76	41.5	74	68.5	34.5
2000298	黄英	计算机科学与技术197	83	65.5	48.5	36.5	74
2000299	杨璐焕	计算机科学与技术197	75	74.5	93	82	62.5
2000300	王江	计算机科学与技术197	83	60	35.5	69.5	63
2000301	代美秀	计算机科学与技术197	91	41	67.5	76.5	71
2000302	王亚	计算机科学与技术197	49.5	89.5	65	68.5	77
2000303	郑永琪	计算机科学与技术197	70.5	68.5	83.5	76.5	65
2000304	孙洁伟	计算机科学与技术197	81.5	73.5	93	84.5	56.5
2000305	刘家	计算机科学与技术197	99	84	36.5	60.5	13
2000306	庄川烨	计算机科学与技术197	81.5	82	73.5	100	49.5
2000307	鲍树贤	计算机科学与技术197	90	58	35	62.5	83.5
2000308	刘丽然	计算机科学与技术197	31	65	65.5	59	78
2000309	张杰悦	计算机科学与技术197	89.5	57.5	61	100	82.5
2000310	宋涵凡	计算机科学与技术197	50.5	84.5	75.5	86.5	72.5
2000311	刘儒侠	计算机科学与技术197	73	91	60	84	38.5
2000312	刘誉	计算机科学与技术197	96.5	75.5	75.5	52	92.5
2000313	马慧露	计算机科学与技术197	97.5	41	76	59	84
2000314	潘莹冰	计算机科学与技术197	32.5	96.5	53	51.5	87.5
2000315	高跃旋	计算机科学与技术197	82	48.5	65	67	98
2000316	于倩雯	计算机科学与技术197	56	54.5	48.5	79	34.5
2000317	张雨婷	计算机科学与技术197	81.5	31	59	62	74
2000318	王小阳	计算机科学与技术197	64	96.5	37.5	92.5	62.5
2000319	邸楠	计算机科学与技术197	97.5	41.5	36.5	27.5	63
2000320	陈祥清	计算机科学与技术197	80.5	75	58	59.5	71
2000321	窦桐静	计算机科学与技术197	72	58	65	76.5	77
2000322	潘子艳	计算机科学与技术197	58.5	49.5	57.5	63	65
2000323	孙成双	计算机科学与技术197	80.5	49.5	84.5	87	56.5
2000324	刘浩雨	计算机科学与技术197	57	57	85	79.5	13
2000325	武正鸣	计算机科学与技术197	72.5	57.5	43.5	84	49.5
2000326	张凡	计算机科学与技术197	75.5	73.5	90	36.5	83.5
2000327	李雪宇	计算机科学与技术197	40	82	75.5	50.5	78
2000328	孙浩琪	计算机科学与技术198	80	59.5	53	77	82.5
2000329	张利	计算机科学与技术198	50.5	90.5	99.5	37	72.5
2000330	凌宝悦	计算机科学与技术198	47.5	33.5	85	94	38.5
2000331	王琦敏	计算机科学与技术198	26.5	62.5	66	69.5	92.5
2000332	朱士	计算机科学与技术198	62.5	73.5	76	69	84
2000333	杜想倩	计算机科学与技术198	96.5	91	77	69	87.5
2000334	刘姜	计算机科学与技术198	98.5	35	69.5	60.5	98
2000335	王宇蕾	计算机科学与技术198	100	91	67	60.5	34.5
2000336	梅小泽	计算机科学与技术198	82	50.5	23.5	84.5	74
2000337	殷令	计算机科学与技术198	57.5	49.5	74.5	43.5	62.5
2000338	韩祥欣	计算机科学与技术198	82	91.5	43	84	63
2000339	王芃	计算机科学与技术198	73.5	94	58	62.5	71
2000340	岳倩	计算机科学与技术198	84.5	53	50.5	63	77
2000341	许升文	计算机科学与技术198	90.5	32.5	28	75.5	65
2000342	王海	计算机科学与技术198	67	95.5	27.5	78	56.5
2000343	孙念璞	计算机科学与技术198	32	100	96.5	37.5	13
2000344	陈雨宇	计算机科学与技术198	80	42	60	36	49.5
2000345	迮源男	计算机科学与技术198	50.5	55	34	59	83.5
2000346	孙霞萍	计算机科学与技术198	97.5	62	59	79	78
2000347	李龙情	计算机科学与技术198	91	58	34	96.5	82.5
2000348	徐宗宁	计算机科学与技术198	77	41	75	88	72.5
2000349	王宁	计算机科学与技术198	73.5	32.5	61.5	78.5	38.5
2000350	杨子	计算机科学与技术198	64	32	59	62.5	92.5
2000351	卢子	计算机科学与技术198	48	32	77	45.5	84
2000352	曲星	计算机科学与技术198	55.5	40	79	61.5	87.5
2000353	金琦	计算机科学与技术198	55.5	48.5	68.5	23	98
2000354	王永骁	计算机科学与技术198	75	64.5	36.5	50.5	34.5
2000355	马文贤	计算机科学与技术198	50.5	37	82	65	74
2000356	臧丁琳	计算机科学与技术198	88.5	74.5	69.5	61	62.5
2000357	张永翼	计算机科学与技术198	34	32.5	76.5	44	63
2000358	沈委冰	计算机科学与技术198	33.5	57	68.5	85.5	71
2000359	王开晴	计算机科学与技术198	41.5	74	76.5	68.5	77
2000360	神明	计算机科学与技术198	65.5	48.5	84.5	60	65
2000361	王心	计算机科学与技术198	74.5	93	60.5	60	56.5
2000362	高涛	计算机科学与技术198	60	35.5	100	68	13
2000363	燕耀	计算机科学与技术198	41	67.5	62.5	37.5	49.5
2000364	刘文芮	计算机科学与技术198	89.5	65	59	37	83.5
2000365	孙京	计算机科学与技术198	68.5	83.5	100	11.5	78
2000366	孙鑫孜	计算机科学与技术198	73.5	93	86.5	51.5	82.5
2000367	龚睿悦	计算机科学与技术198	84	36.5	84	29.5	72.5
2000368	石安苗	计算机科学与技术198	82	73.5	52	100	38.5
2000369	庄敬婧	计算机科学与技术198	58	35	59	47.5	92.5
2000370	卜慧娇	计算机科学与技术198	65	65.5	51.5	86	84
2000371	李金凝	计算机科学与技术198	57.5	61	67	95	87.5
2000372	宋梦	计算机科学与技术198	84.5	75.5	79	98.5	98
2000373	吴柯文	计算机科学与技术198	91	60	62	44.5	34.5
2000374	徐奇	计算机科学与技术198	75.5	75.5	92.5	93.5	74
2000375	李磊	计算机科学与技术198	41	76	27.5	72.5	62.5
2000376	赵丽蒙	计算机科学与技术198	96.5	53	59.5	85.5	63
2000377	庄金仪	计算机科学与技术198	48.5	65	76.5	85	71
2000378	杨欣佳	计算机科学与技术199	54.5	48.5	63	85	77
2000379	吴露冉	计算机科学与技术199	31	59	87	64	65
2000380	王子娜	计算机科学与技术199	96.5	37.5	79.5	70.5	56.5
2000381	李子涛	计算机科学与技术199	41.5	36.5	84	93.5	13
2000382	王一	计算机科学与技术199	75	58	36.5	47.5	49.5
2000383	张宇瑜	计算机科学与技术199	58	65	50.5	24.5	83.5
2000384	董鑫泉	计算机科学与技术199	49.5	57.5	77	59	78
2000385	李厚龙	计算机科学与技术199	49.5	84.5	37	69.5	82.5
2000386	姜奇	计算机科学与技术199	57	85	94	78.5	72.5
2000387	朱昊翠	计算机科学与技术199	57.5	43.5	69.5	53	38.5
2000388	严畅超	计算机科学与技术199	73.5	90	69	36.5	92.5
2000389	赵纯	计算机科学与技术199	82	75.5	69	86	84
2000390	王桑威	计算机科学与技术199	59.5	53	60.5	72.5	87.5
2000391	张雪	计算机科学与技术199	90.5	99.5	60.5	78	98
2000392	杜晓	计算机科学与技术199	33.5	85	84.5	85	34.5
2000393	贺雨	计算机科学与技术199	62.5	66	43.5	88.5	74
2000394	盛星	计算机科学与技术199	73.5	76	84	63.5	62.5
2000395	彭芸瑶	计算机科学与技术199	91	77	62.5	93.5	63
2000396	邵梦贞	计算机科学与技术199	35	69.5	63	70.5	71
2000397	刘文红	计算机科学与技术199	91	67	75.5	96	77
2000398	武珂雪	计算机科学与技术199	50.5	23.5	78	88	65
2000399	李秀琪	计算机科学与技术199	49.5	74.5	37.5	57	56.5
2000400	吴凤凤	计算机科学与技术199	91.5	43	36	80	13
2000401	纪欣玲	计算机科学与技术199	94	58	59	96	49.5
2000402	陈凡	计算机科学与技术199	53	50.5	79	69.5	83.5
2000403	李梦	计算机科学与技术199	32.5	28	96.5	87	78
2000404	孙雨然	计算机科学与技术199	95.5	27.5	88	81	82.5
